vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
1C4RJKBG3M8202610,2021,Jeep,Grand Cherokee L,Limited,Sport Utility,Diamond Black Crystal Pearlcoat,Wicker Beige/Black,automatic,18,25,2841,49998,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1C4HJXCG4MW669344,2021,Jeep,Wrangler,Rubicon,Convertible,Snazzberry Pearlcoat,Black,automatic,20,24,6506,50488,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1C4HJXFG1KW662294,2019,Jeep,Wrangler,Rubicon,Convertible,Bikini Pearlcoat,Heritage Tan/Black,automatic,18,23,34600,50898,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1C4SDHCT6MC863732,2021,Dodge,Durango,R/T,Sport Utility,Destroyer Gray Clearcoat,Black,automatic,14,22,4573,50988,Ancira Chrysler Jeep Dodge Ram,2022-04-01
3C6UR5FJ8JG177646,2018,RAM,2500,Laramie,4D Crew Cab,Granite Crystal Metallic Clearcoat,Black,automatic,0,0,54342,50997,Ancira Ford Floresville,2022-04-01
2C3CDZFJ6MH590118,2021,Dodge,Challenger,R/T Scat Pack,2dr Car,Pitch Black Clearcoat,Black,automatic,15,24,7659,50998,Ancira Volkswagen of San Antonio,2022-04-01
1C6JJTEG2ML515795,2021,Jeep,Gladiator,Mojave,Crew Cab Pickup,Bright White Clearcoat,Black,automatic,17,22,18000,51988,Ancira Chrysler Jeep Dodge Ram,2022-04-01
JN8AZ2NF1L9703369,2020,INFINITI,QX80,LUXE,Sport Utility,Liquid Platinum,Graphite,automatic,14,20,52276,51991,Ancira Buick GMC,2022-04-01
1G1YB2D74G5108305,2016,Chevrolet,Corvette,1LT,Coupe,Long Beach Red Metallic Tintcoat,Jet Black,automatic,16,29,12068,51991,Ancira Nissan,2022-04-01
1GYS3HKJ8HR263682,2017,Cadillac,Escalade ESV,Luxury,SUV,Crystal White Tricoat,Shale with Cocoa Accents,automatic,15,22,41661,52323,Ancira Nissan,2022-04-01
1G1YC2D75F5119387,2015,Chevrolet,Corvette,Stingray 2LT,2D Coupe,Torch Red,Jet Black,automatic,17,29,33434,52491,Ancira Chevy,2022-04-01
1FTEW1E55KFB35876,2019,Ford,F-150,Platinum,4D SuperCrew,Gray,Black,automatic,16,22,47826,52551,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2022-04-01
KM8R7DHE4MU240978,2021,Hyundai,Palisade,Calligraphy,Sport Utility,Hyper White,Dark Brown,automatic,19,24,17295,52698,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1C6SRFJM1LN395842,2020,RAM,1500,Laramie,4D Crew Cab,Patriot Blue Pearlcoat,Black,automatic,21,29,32682,52987,Ancira Ford Floresville,2022-04-01
1C6JJTEG8NL101485,2022,Jeep,Gladiator,Mojave,Crew Cab Pickup,Granite Crystal Metallic Clearcoat,Black,automatic,17,22,5711,53997,Ancira Chrysler Jeep Dodge Ram,2022-04-01
3C6UR5FL9JG237371,2018,RAM,2500,Laramie,Crew Cab,Maximum Steel Metallic Clearcoat,Black,automatic,0,0,108859,54798,Ancira Chrysler Jeep Dodge Ram,2022-04-01
WAUM2AF28KN035785,2019,Audi,A6,Prestige,4dr Car,White,Black,automatic,22,29,26688,56997,Ancira Chrysler Jeep Dodge Ram,2022-04-01
JN8AY2BB6M9793785,2021,Nissan,Armada,SL,Sport Utility,Mocha Almond Pearl,Charcoal,automatic,13,18,8228,57491,Ancira Buick GMC,2022-04-01
1FT7W2BT4HED30917,2017,Ford,Super Duty F-250 SRW,Lariat,Crew Cab Pickup,Red,-1,automatic,0,0,85410,57991,Ancira Buick GMC,2022-04-01
KMUHB4SBXMU048586,2021,Genesis,GV80,2.5T,Sport Utility,Black,Beige/Black,automatic,21,25,6315,58139,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1C4RJKDG1M8164291,2021,Jeep,Grand Cherokee L,Overland,Sport Utility,Baltic Gray Metallic Clearcoat,Global Black,automatic,18,25,15965,58498,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1FTEW1E54LFB54145,2020,Ford,F-150,King Ranch,4D SuperCrew,White,Java,automatic,15,21,18697,58791,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2022-04-01
1GNSCMKD7MR488248,2021,Chevrolet,Tahoe,LS,4D Sport Utility,Black,Jet Black,automatic,16,20,8791,58991,Ancira Chevy,2022-04-01
1FT7W2BT9LEC10121,2020,Ford,Super Duty F-250 SRW,XLT,Crew Cab Pickup,Blue,-1,automatic,0,0,61479,59981,Ancira Buick GMC,2022-04-01
1FA6P8JZ7J5501771,2018,Ford,Mustang,Shelby GT350,2D Coupe,Shadow Black,Ebony,automatic,14,21,8632,59991,Ancira Chevy,2022-04-01
1FT7W2BT2KEE20638,2019,Ford,F-250SD,Lariat,4D Crew Cab,Ruby Red,Black / Dark Marsala,automatic,0,0,100778,59997,Ancira Ford Floresville,2022-04-01
1FT8W3BT8HEE68602,2017,Ford,F-350SD,Lariat,4D Crew Cab,Oxford White,Black,automatic,0,0,64785,60987,Ancira Ford Floresville,2022-04-01
1FT7W2BT6KEG39179,2019,Ford,F-250SD,Lariat,4D Crew Cab,Ruby Red,Medium Light Camel,automatic,0,0,84101,62487,Ancira Ford Floresville,2022-04-01
1C4RJKEG1M8104512,2021,Jeep,Grand Cherokee L,Summit,Sport Utility,Velvet Red Pearlcoat,Global Black,automatic,18,25,8965,62498,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1FT7W2BT0HED08199,2017,Ford,F-250SD,Platinum,Crew Cab Pickup,White Platinum Metallic Tri-Coat,Black,automatic,0,0,77853,62988,Ancira Chrysler Jeep Dodge Ram,2022-04-01
3C6UR5FL4JG399747,2018,RAM,2500,Laramie,Crew Cab,Pearl White,Black,automatic,0,0,37435,63597,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1FT7W2BT2KEG02890,2019,Ford,F-250SD,Lariat,4D Crew Cab,Ingot Silver,Black / Dark Marsala,automatic,0,0,60263,65997,Ancira Ford Floresville,2022-04-01
1GNSCNKD5MR213418,2021,Chevrolet,Tahoe,LT,Sport Utility,Empire Beige Metallic,Gideon/Very Dark Atmosphere,automatic,16,20,34522,66388,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1FT8W3BT6KEC50018,2019,Ford,F-350SD,King Ranch,4D Crew Cab,Black,Java,automatic,0,0,81478,69997,Ancira Ford Floresville,2022-04-01
3C6UR5FL0MG511903,2021,RAM,2500,Laramie,4D Crew Cab,Billet Silver Metallic Clearcoat,Black,automatic,0,0,41801,70987,Ancira Ford Floresville,2022-04-01
1GT49RE7XMF266162,2021,GMC,Sierra 2500HD,Denali,4D Crew Cab,Pacific Blue Metallic,Dark Walnut/Dark Ash Grey,automatic,0,0,12018,72987,Ancira Ford Floresville,2022-04-01
1GKS1BKD5MR117371,2021,GMC,Yukon,SLT,Sport Utility,Summit White,Dark Walnut/Slate,automatic,16,20,26678,73751,Ancira Volkswagen of San Antonio,2022-04-01
WA1VXAF79MD020607,2021,Audi,Q7,Prestige,Sport Utility,Gray,Black,automatic,18,23,8269,73839,Ancira Volkswagen of San Antonio,2022-04-01
3C6UR5SL2KG653236,2019,RAM,2500,Limited,Crew Cab,Diamond Black Crystal Pearlcoat,Black,automatic,0,0,67090,74997,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1C4SJVBT2NS106424,2022,Jeep,Wagoneer,Series II,Sport Utility,Silver Zynith,Sea Salt/Black,automatic,15,20,478,76988,Ancira Chrysler Jeep Dodge Ram,2022-04-01
5UXCX4C57KLB39536,2019,BMW,X7,xDrive50i,Sports Activity Vehicle,Arctic Gray Metallic,Black,automatic,15,21,40915,76998,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1G1YS2D6XK5605178,2019,Chevrolet,Corvette,Z06,2dr Car,Torch Red,Jet Black,automatic,14,23,14055,82991,Ancira Buick GMC,2022-04-01
1G1FB1RS3J0191048,2018,Chevrolet,Camaro,1LT,2D Coupe,Gray,Gone,automatic,19,29,26739,-1,Ancira Chevy,2022-04-01
