vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
1N4AA6AP3GC393314,2016,Nissan,Maxima,3.5 Platinum,Sedan,Super Black,Charcoal,Variable,22,30,109091,18951,Ancira Nissan,2021-08-28
KNDPM3AC9K7567993,2019,Kia,Sportage,LX,Sport Utility,Sparkling Silver,Gray,Automatic,23,30,45033,18988,Ancira Volkswagen of San Antonio,2021-08-28
3N1CP5CU4KL506976,2019,Nissan,Kicks,S,4D Sport Utility,Super Black,Charcoal,CVT with Xtronic,31,36,43447,18991,Ancira Chevy,2021-08-28
1N4AA6AP6GC443557,2016,Nissan,Maxima,3.5 SV,4D Sedan,Brilliant Silver,Charcoal,CVT,22,30,85551,18991,Ancira Volkswagen of Laredo,2021-08-28
KL4CJCSB2GB639905,2016,Buick,Encore,Leather,4D Sport Utility,White Pearl Tricoat,saddle,6-Speed Automatic Electronic with Overdrive,28,34,51721,18991,Ancira Chevy,2021-08-28
3KPF24AD3KE019472,2019,Kia,Forte,LXS,4D Sedan,Gravity Gray,Black,IVT,30,40,24831,18991,Ancira Volkswagen of Laredo,2021-08-28
1FM5K7BH9HGC09599,2017,Ford,Explorer,Base,4D Sport Utility,Ingot Silver,Med Light Camel,6-Speed Automatic with Select-Shift,19,27,109482,18997,Ancira Ford Floresville,2021-08-28
1C4PJLDB9HW522496,2017,Jeep,Cherokee,Limited,Sport Utility,Diamond Black Crystal Pearlcoat,Black,Automatic,21,30,77834,18998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
1N4AA6AP0HC417005,2017,Nissan,Maxima,SV,4dr Car,Bordeaux Black,Charcoal,Variable,21,30,80626,18998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
2C3CCAAG7HH516650,2017,Chrysler,300,Limited,Sedan,Jazz Blue Pearlcoat,Black,Automatic,19,30,52739,19450,Ancira Nissan,2021-08-28
KNMAT2MT2HP525219,2017,Nissan,Rogue,SV,SUV,Magnetic Black,Charcoal,Variable,26,33,43409,19488,Ancira Nissan,2021-08-28
NMTKHMBX9JR013457,2018,Toyota,C-HR,XLE,4D Sport Utility,Maroon,Black,CVT,27,31,59664,19491,Ancira Volkswagen of Laredo,2021-08-28
2G61M5S34H9200252,2017,Cadillac,XTS,Luxury,Sedan,Phantom Gray Metallic,Medium Titanium with Jet Black accents,Automatic,18,28,91072,19491,Ancira Nissan,2021-08-28
3MZBN1V3XJM257651,2018,Mazda,Mazda3 4-Door,Touring,Sedan,Soul Red Metallic,Black,Automatic,27,36,19790,19491,Ancira Nissan,2021-08-28
1GKS1EEF9CR305727,2012,GMC,Yukon,Denali,4D Sport Utility,White Diamond Tricoat,Light Titanium,6-Speed Automatic Electronic with Overdrive,14,18,124453,19991,Ancira Chevy,2021-08-28
3N1CP5CU3JL528594,2018,Nissan,Kicks,SV,4D Sport Utility,Cayenne Red/Super Black,Charcoal,CVT with Xtronic,31,36,38065,19991,Ancira Chevy,2021-08-28
2T1BURHE6KC130469,2019,Toyota,Corolla,L,4D Sedan,Gray,Black,CVT,28,36,31038,19991,Ancira Chevy,2021-08-28
1GB3KYCG3HF226190,2017,Chevrolet,Silverado 3500HD,Work Truck,2D Standard Cab,Summit White,Dark Ash,6-Speed Automatic HD Electronic with Overdrive,0,0,143929,19997,Ancira Ford Floresville,2021-08-28
3N1CP5CU4JL514428,2018,Nissan,Kicks,SR,Sport Utility,Super Black,Charcoal,Variable,31,36,38687,19997,Ancira Chrysler Jeep Dodge Ram,2021-08-28
5XYPG4A38JG362096,2018,Kia,Sorento,LX,Sport Utility,Sparkling Silver,Satin Black,Automatic,21,28,64373,19998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
5FPYK1F73DB016392,2013,Honda,Ridgeline,Sport,Crew Cab Pickup,Crystal Black Pearl,Black,Automatic,15,21,85236,19999,Ancira Kia,2021-08-28
3GNAXJEV3JL115942,2018,Chevrolet,Equinox,LT,Sport Utility,Pepperdust Metallic,Jet Black,Automatic,26,32,77296,20108,Ancira Volkswagen of San Antonio,2021-08-28
3N1CP5CU2KL496545,2019,Nissan,Kicks,SR,SUV,Super Black,Charcoal,Variable,31,36,41419,20243,Ancira Nissan,2021-08-28
3N1AB8BVXLY259291,2020,Nissan,Sentra,S,4D Sedan,Fresh Powder,Charcoal,CVT with Xtronic,29,39,8788,20491,Ancira Volkswagen of Laredo,2021-08-28
3VWC57BU6KM269110,2019,Volkswagen,Jetta,1.4T SE,4D Sedan,Gray,Titan Black,8-Speed Automatic with Tiptronic,30,40,19727,20491,Ancira Volkswagen of Laredo,2021-08-28
1GNKRFKD0HJ211990,2017,Chevrolet,Traverse,LS,Sport Utility,Tungsten Metallic,Dark Titanium/Light Titanium,Automatic,15,22,64986,20597,Ancira Chrysler Jeep Dodge Ram,2021-08-28
JA4AP4AU5KU002132,2019,Mitsubishi,Outlander Sport,SE 2.0,Sport Utility,Labrador Black Metallic,Black,Variable,24,30,29607,20799,Ancira Kia,2021-08-28
1GKKRRKD0FJ279301,2015,GMC,Acadia,SLT,Sport Utility,White Diamond Pearl,Ebony,Automatic,17,24,71377,20988,Ancira Volkswagen of San Antonio,2021-08-28
